Timestamp, Decibels, Group
"1429693561840","-5.198597264319581","Control"
"1429693562881","-9.313835858777612","Control"
"1429693563924","-3.3073478732781627","Control"
"1429693564963","-12.28919849566654","Control"
"1429693566008","-3.1164415151535545","Control"
"1429693567058","-1.077507615657092","Control"
"1429693568103","-0.33783629059369213","Control"
"1429693569143","-8.22004963022559","Control"
"1429693570185","-1.8940788140913456","Control"
"1429693571260","-9.600524907261391","Control"
"1429693572303","-6.836237625450664","Control"
"1429693573343","-10.99958214776829","Control"
"1429693574392","2.1013682332605237","Control"
"1429693575446","-16.478174818886377","Control"
"1429693576499","-4.235584758894651","Control"
"1429693577543","-1.6806749768407383","Control"
"1429693578588","-1.5297468328550696","Control"
"1429693579668","-9.475129541977841","Control"
"1429693580715","-10.587217456165156","Control"
"1429693581764","-9.54242509439325","Control"
"1429693582810","-9.417859732493767","Control"
"1429693583859","-11.444509337289128","Control"
"1429693584902","-7.596507472873197","Control"
"1429693585941","-5.988489378971255","Control"
"1429693586989","-12.76544327964814","Control"
"1429693588039","-12.558132970211469","Control"
"1429693589082","-14.0927311026483","Control"
"1429693590126","-4.3516092964736615","Control"
"1429693591173","-8.84718296920901","Control"
"1429693592219","-2.875719101605638","Control"
"1429693593263","1.7060758988011129","Control"
"1429693594306","-3.406778603331799","Control"
"1429693595352","-1.70412923853958","Control"
"1429693597256","-7.390689137285765","Control"
"1429693598301","-9.26696100330691","Control"
"1429693599342","1.745635203426485","Control"
"1429693600390","-5.364047783639379","Control"
"1429693601469","-6.978749265964308","Control"
"1429693602521","-10.696750933388639","Control"
"1429693603561","-7.308215676902352","Control"
"1429693604612","-15.447978429891048","Control"
"1429693605660","-9.285680600289805","Control"
"1429693606708","-2.438930767616946","Control"
"1429693607759","-7.7836433928644215","Control"
"1429693608804","-4.4155547850766155","Control"
"1429693609849","-5.526630707360343","Control"
"1429693610898","-8.031485866542633","Control"
"1429693611939","-10.193545773507706","Control"
"1429693612990","-10.069607076565607","Control"
"1429693614040","-1.6495008217509874","Control"
"1429693615080","-6.857465879531821","Control"
"1429693616122","-5.122839276318699","Control"
"1429693617165","-6.829173054391788","Control"
"1429693618212","-4.152166210034922","Control"
"1429693619257","-7.436006925154393","Control"
"1429693620301","1.443090971301748","Control"
"1429693621374","-7.087188747312741","Control"
"1429693622426","-11.04535769317829","Control"
"1429693623473","-5.930987876770544","Control"
"1429693624521","-7.0944664097729095","Control"
"1429693625567","-8.990903139766475","Control"
"1429693626611","-6.381879914834334","Control"
"1429693627649","-8.566685872107387","Control"
"1429693628695","-7.211746026311053","Control"
"1429693629747","-8.112967605152933","Control"
"1429693630797","-8.927732754869881","Control"
"1429693631840","-6.228967078019925","Control"
"1429693632890","-5.89286394005161","Control"
"1429693633939","-4.604797339032155","Control"
"1429693634983","2.570857217542505","Control"
"1429693636025","4.3633160357766325","Control"
"1429693637078","-8.088442723999158","Control"
"1429693638127","-8.954749540689056","Control"
"1429693639180","-7.145581502614871","Control"
"1429693640221","-7.527358052596915","Control"
"1429693641277","-11.468569988791167","Control"
"1429693642322","0.5605744720048706","Control"
"1429693643396","-7.390689137285765","Control"
"1429693644440","-4.512364464326503","Control"
"1429693645482","-11.913463853331233","Control"
"1429693646541","-7.5350141920419915","Control"
"1429693647584","-7.666211820867566","Control"
"1429693648630","-14.40801290327423","Control"
"1429693649679","-17.77076674399615","Control"
"1429693650724","-3.2510372083841377","Control"
"1429693651778","-13.509778169729918","Control"
"1429693652829","-15.738503493822975","Control"
"1429693653881","-10.193545773507706","Control"
"1429693654926","-14.257241505834262","Control"
"1429693655978","-6.402025009998441","Control"
"1429693657023","-8.080283127684616","Control"
"1429693657901","-11.875506518469518","Control"
"1429693658947","-14.717641753375796","Control"
"1429693659988","-12.585490125545093","Control"
"1429693661032","-0.7137595777810266","Control"
"1429693662075","-9.856880779649908","Control"
"1429693663153","-2.768869291179622","Control"
"1429693664192","-16.28726846076177","Control"
"1429693665240","-11.762619721219558","Control"
"1429693666286","-13.601693203512898","Control"
"1429693667330","-10.641811536827671","Control"
"1429693668377","-11.313354084858336","Control"
